time,ShortWave,LongWave,AirTemp,RelHum,WindSpeed,Rain,Snow
2009-07-21 00:00:00,359.877671480179,428.444163004557,29.5070841471354,72.4614625606294,5.38361779202949,0.0110680686220255,0
2009-07-22 00:00:00,390.811834494273,401.713747660319,28.5162521362305,72.4037721748971,4.63717852609731,0.0110680686220255,0
2009-07-23 00:00:00,231.931707541148,414.158336639404,27.3191747029623,80.2037084690928,6.46304339644946,0.0310083691164579,0
2009-07-24 00:00:00,198.742624044418,441.315418243408,28.0233423868815,78.8918119500939,4.31609344086388,0.0153097684964265,0
2009-07-25 00:00:00,258.646209438642,448.280415852865,29.0112548828125,78.6224037100466,3.93273470876947,0.0151441685355928,0
2009-07-26 00:00:00,331.406792203585,443.230416615804,29.3920862833659,73.637903599569,2.92358521215025,0.0110769686218079,0
2009-07-27 00:00:00,296.871336380641,453.365000406901,30.8816696166992,70.578673660792,1.83838785854414,0.0110680686220255,0
2009-07-28 00:00:00,258.366419871648,451.978754679362,30.8358373006185,70.0217155053259,2.32554683339179,0.0294985689710554,0
2009-07-29 00:00:00,293.027458111445,449.201251983643,30.5570922851563,72.4676191315978,1.78397129071743,0.0129929686136272,0
2009-07-30 00:00:00,303.733502268791,450.972497304281,31.0920895894369,70.4032710647293,2.87496686180473,0.0110680686220255,0
2009-07-31 00:00:00,288.258874018987,453.809997558594,31.1120849609375,71.6727896609673,2.25268493171765,0.0110943686220523,0
2009-08-01 00:00:00,196.150708754857,461.321244557699,31.0154205322266,72.3373210626275,1.85919912127712,0.0131076686129633,0
2009-08-02 00:00:00,225.249002933502,452.481250762939,29.898750559489,72.4638515421832,1.69175378448531,0.0152953686605867,0
2009-08-03 00:00:00,242.365913947423,453.699160257975,30.3400080362956,72.1887349395266,2.88643543806305,0.0185648685065059,0
2009-08-04 00:00:00,198.5242070357,453.509578704834,29.2329205830892,77.0129921266538,2.92858767429471,0.0111192686218889,0
2009-08-05 00:00:00,206.631082057953,441.01833597819,27.8087554931641,79.3459704374891,2.9335616188292,0.0122167686103746,0
